Position,Variant,Duration,Tempo,Pre-pause,Post-pause,F0,Intensity,Pragmatics
Sentence-initial,Nizhidao,0.294,0.098,0,0,200.437,78.449,Turn-initiating
Sentence-initial,Nizhidao,0.261,0.087,0,0.036,106.316,87.978,Turn-initiating
Sentence-initial,Nizhidao,0.384,0.128,0,0,305.818,79.646,Turn-initiating
Sentence-initial,Nizhidao,0.656,0.164,0,0.114,149.297,73.517,Turn-initiating
Sentence-initial,Nizhidao,0.412,0.137,0,0.108,337.744,79.253,Turn-initiating
Sentence-initial,Nizhidao,0.246,0.082,0,0,117.127,83.02,Turn-initiating
Sentence-initial,Nizhidao,0.419,0.14,0,0.102,159.827,82.316,Turn-initiating
Sentence-initial,Nizhidao,0.139,0.046,0,0,197.542,85.248,Turn-initiating
Sentence-initial,Nizhidao,0.631,0.158,0,0.149,168.564,79.322,Turn-initiating
Sentence-initial,Nizhidao,0.371,0.124,0,0,186.02,79.544,Turn-initiating
Sentence-initial,Nizhidao,0.219,0.073,0,0,176.875,84.096,Turn-initiating
Sentence-initial,Nizhidao,0.307,0.102,0,0,163.539,81.343,Turn-initiating
Sentence-initial,Nizhidao,0.469,0.156,0,0,143.928,79.399,Turn-initiating
Sentence-initial,Nizhidao,0.383,0.128,0,0,152.136,80.368,Turn-initiating
Sentence-initial,Nizhidao,0.361,0.09,0,0.084,306.656,80.733,Turn-initiating
Sentence-initial,Nizhidao,0.245,0.082,0,0,275.229,78.342,Turn-initiating
Sentence-initial,Nizhidao,0.587,0.196,0,0,278.504,84.641,Turn-initiating
Sentence-initial,Nizhidao,0.601,0.15,0,0.051,152.99,77.302,Turn-initiating
Sentence-initial,Nizhidao,0.493,0.121,0,0,273.374,69.324,Turn-initiating
Sentence-initial,Nizhidao,0.583,0.146,0,0,232.359,75.603,Turn-initiating
Sentence-initial,Nizhidao,0.381,0.127,0,0.092,133.245,73.532,Turn-initiating
Sentence-initial,Nizhidao,0.543,0.136,0,0,182.139,71.899,Turn-initiating
Sentence-initial,Nizhidao,0.405,0.135,0,0,247.003,83.254,Turn-initiating
Sentence-initial,Nizhidao,0.434,0.145,0,0,133.506,85.074,Turn-initiating
Sentence-initial,Nizhidao,0.608,0.152,0,0.068,186.13,77.111,Turn-initiating
Sentence-initial,Nizhidao,0.294,0.098,0,0,200.437,78.449,Turn-initiating
Sentence-initial,Nizhidao,0.261,0.087,0,0.036,106.316,87.978,Turn-initiating
Sentence-initial,Nizhidao,0.384,0.128,0,0,305.818,79.646,Turn-initiating
Sentence-initial,Nizhidao,0.656,0.164,0,0.114,149.297,73.517,Turn-initiating
Sentence-initial,Nizhidao,0.412,0.137,0,0.108,337.744,79.253,Turn-initiating
Sentence-initial,Nizhidao,0.246,0.082,0,0,117.127,83.02,Turn-initiating
Sentence-initial,Nizhidao,0.419,0.14,0,0.102,159.827,82.316,Turn-initiating
Sentence-initial,Nizhidao,0.139,0.046,0,0,197.542,85.248,Turn-initiating
Sentence-initial,Nizhidao,0.631,0.158,0,0.149,168.564,79.322,Turn-initiating
Sentence-initial,Nizhidao,0.371,0.124,0,0,186.02,79.544,Turn-initiating
Sentence-initial,Nizhidao,0.219,0.073,0,0,176.875,84.096,Turn-initiating
Sentence-initial,Nizhidao,0.307,0.102,0,0,163.539,81.343,Turn-initiating
Sentence-initial,Nizhidao,0.469,0.156,0,0,143.928,79.399,Turn-initiating
Sentence-initial,Nizhidao,0.383,0.128,0,0,152.136,80.368,Turn-initiating
Sentence-initial,Nizhidao,0.361,0.09,0,0.084,306.656,80.733,Turn-initiating
Sentence-initial,Nizhidao,0.245,0.082,0,0,275.229,78.342,Turn-initiating
Sentence-initial,Nizhidao,0.587,0.196,0,0,278.504,84.641,Turn-initiating
Sentence-initial,Nizhidao,0.601,0.15,0,0.051,152.99,77.302,Turn-initiating
Sentence-initial,Nizhidao,0.493,0.121,0,0,273.374,69.324,Turn-initiating
Sentence-initial,Nizhidao,0.583,0.146,0,0,232.359,75.603,Turn-initiating
Sentence-initial,Nizhidao,0.381,0.127,0,0.092,133.245,73.532,Turn-initiating
Sentence-initial,Nizhidao,0.543,0.136,0,0,182.139,71.899,Turn-initiating
Sentence-initial,Nizhidao,0.405,0.135,0,0,247.003,83.254,Turn-initiating
Sentence-initial,Nizhidao,0.434,0.145,0,0,133.506,85.074,Turn-initiating
Sentence-initial,Nizhidao,0.608,0.152,0,0.068,186.13,77.111,Turn-initiating
Within-clause,Nizhidao,0.479,0.16,0,0,150.616,73.458,Floor-holding
Within-clause,Nizhidao,0.368,0.123,0,0.17,146.917,74.354,Floor-holding
Within-clause,Nizhidao,0.527,0.176,0,0,114.54,72.763,Floor-holding
Within-clause,Nizhidao,0.291,0.097,0.259,0,175.988,79.297,Floor-holding
Within-clause,Nizhidao,0.564,0.188,0,0,221.58,75.542,Floor-holding
Within-clause,Nizhidao,0.319,0.106,0,0,176.633,75.38,Floor-holding
Within-clause,Nizhidao,0.404,0.135,0,0,335.629,75.502,Floor-holding
Within-clause,Nizhidao,0.316,0.105,0,0,144.362,68.647,Floor-holding
Within-clause,Nizhidao,0.275,0.092,0.055,0,134.237,61.117,Floor-holding
Within-clause,Nizhidao,0.4,0.133,0,0,247.301,76.223,Floor-holding
Within-clause,Nizhidao,0.416,0.139,0,0,247.164,69.575,Floor-holding
Within-clause,Nizhidao,0.323,0.108,0.496,0,260.349,77.029,Floor-holding
Within-clause,Nizhidao,0.534,0.178,0,0.131,86.371,74.372,Floor-holding
Within-clause,Nizhidao,0.381,0.127,0,0,112.892,75.53,Floor-holding
Within-clause,Nizhidao,0.384,0.128,0,0.176,120.873,77.676,Floor-holding
Within-clause,Nizhidao,0.544,0.181,0.112,0.56,101.695,74.116,Floor-holding
Within-clause,Nizhidao,0.408,0.136,0,0.104,182.718,79.755,Floor-holding
Within-clause,Nizhidao,0.44,0.147,0.568,0.4,164.643,80.043,Floor-holding
Within-clause,Nizhidao,0.239,0.08,0,0,233.742,87.348,Floor-holding
Within-clause,Nizhidao,0.387,0.129,0,0.095,133.535,86.988,Floor-holding
Within-clause,Nizhidao,0.283,0.094,0,0,108.274,86.23,Floor-holding
Within-clause,Nizhidao,0.224,0.075,0,0,132.269,77.815,Floor-holding
Within-clause,Nizhidao,0.228,0.076,0,0,126.809,73.154,Floor-holding
Within-clause,Nizhidao,0.489,0.122,0,0.107,127.781,71.264,Floor-holding
Within-clause,Nizhidao,0.372,0.124,0.547,0.66,84.259,72.117,Floor-holding
Within-clause,Nizhidao,0.29,0.097,0.497,0.121,99.127,78.855,Floor-holding
Within-clause,Nizhidao,0.335,0.112,0,0,152.792,83.328,Floor-holding
Within-clause,Nizhidao,0.441,0.11,0,0,219.977,68.336,Floor-holding
Within-clause,Nizhidao,0.373,0.124,0,0,246.711,77.746,Floor-holding
Within-clause,Nizhidao,0.475,0.119,0,0.02,166.76,86.02,Floor-holding
Within-clause,Nizhidao,0.28,0.093,0,0,175.8,81.081,Floor-holding
Within-clause,Nizhidao,0.35,0.117,0,0,250.853,75.11,Floor-holding
Within-clause,Nizhidao,0.39,0.13,0,0,211.519,79.616,Floor-holding
Within-clause,Nizhidao,0.438,0.146,0,0,176.01,79.931,Floor-holding
Within-clause,Nizhidao,0.407,0.136,0,0,155.366,82.326,Floor-holding
Within-clause,Nizhidao,0.565,0.141,0,0.144,124.42,76.522,Floor-holding
Within-clause,Nizhidao,0.56,0.14,0.128,0.128,165.272,79.864,Floor-holding
Within-clause,Nizhidao,0.487,0.123,0,0.087,313.151,80.593,Floor-holding
Within-clause,Nizhidao,0.537,0.134,0,0,320.534,77.775,Floor-holding
Within-clause,Nizhidao,0.582,0.146,0,0.128,237.778,78.853,Floor-holding
Within-clause,Nizhidao,0.378,0.126,0,0,333.526,80.632,Floor-holding
Within-clause,Nizhidao,0.335,0.112,0,0,244.95,72.917,Floor-holding
Within-clause,Nizhidao,0.418,0.139,0,0,234.065,73.236,Floor-holding
Within-clause,Nizhidao,0.504,0.168,0,0,205.405,78.551,Floor-holding
Within-clause,Nizhidao,0.614,0.154,0,0,203.545,77.714,Floor-holding
Within-clause,Nizhidao,0.25,0.083,0,0,222.491,76.535,Floor-holding
Within-clause,Nizhidao,0.258,0.086,0,0,314.054,77.899,Floor-holding
Within-clause,Nizhidao,0.353,0.118,0,0,335.551,84.163,Floor-holding
Within-clause,Nizhidao,0.385,0.128,0,0,180.776,76.712,Floor-holding
Within-clause,Nizhidao,0.315,0.105,0,0,336.941,78.17,Floor-holding
Within-clause,Nizhidao,0.197,0.066,0.204,0,115.555,68.708,Floor-holding
Within-clause,Nizhidao,0.53,0.133,0,0,198.516,75.291,Floor-holding
Within-clause,Nizhidao,0.235,0.078,0.617,0,194.492,71.261,Floor-holding
Within-clause,Nizhidao,0.256,0.085,0.084,0,249.731,83.234,Floor-holding
Within-clause,Nizhidao,0.479,0.16,0,0,150.616,73.458,Floor-holding
Within-clause,Nizhidao,0.368,0.123,0,0.17,146.917,74.354,Floor-holding
Within-clause,Nizhidao,0.527,0.176,0,0,114.54,72.763,Floor-holding
Within-clause,Nizhidao,0.291,0.097,0.259,0,175.988,79.297,Floor-holding
Within-clause,Nizhidao,0.564,0.188,0,0,221.58,75.542,Floor-holding
Within-clause,Nizhidao,0.319,0.106,0,0,176.633,75.38,Floor-holding
Within-clause,Nizhidao,0.404,0.135,0,0,335.629,75.502,Floor-holding
Within-clause,Nizhidao,0.316,0.105,0,0,144.362,68.647,Floor-holding
Within-clause,Nizhidao,0.275,0.092,0.055,0,134.237,61.117,Floor-holding
Within-clause,Nizhidao,0.4,0.133,0,0,247.301,76.223,Floor-holding
Within-clause,Nizhidao,0.416,0.139,0,0,247.164,69.575,Floor-holding
Within-clause,Nizhidao,0.323,0.108,0.496,0,260.349,77.029,Floor-holding
Within-clause,Nizhidao,0.534,0.178,0,0.131,86.371,74.372,Floor-holding
Within-clause,Nizhidao,0.381,0.127,0,0,112.892,75.53,Floor-holding
Within-clause,Nizhidao,0.384,0.128,0,0.176,120.873,77.676,Floor-holding
Within-clause,Nizhidao,0.544,0.181,0.112,0.56,101.695,74.116,Floor-holding
Within-clause,Nizhidao,0.408,0.136,0,0.104,182.718,79.755,Floor-holding
Within-clause,Nizhidao,0.44,0.147,0.568,0.4,164.643,80.043,Floor-holding
Within-clause,Nizhidao,0.239,0.08,0,0,233.742,87.348,Floor-holding
Within-clause,Nizhidao,0.387,0.129,0,0.095,133.535,86.988,Floor-holding
Within-clause,Nizhidao,0.283,0.094,0,0,108.274,86.23,Floor-holding
Within-clause,Nizhidao,0.224,0.075,0,0,132.269,77.815,Floor-holding
Within-clause,Nizhidao,0.228,0.076,0,0,126.809,73.154,Floor-holding
Within-clause,Nizhidao,0.489,0.122,0,0.107,127.781,71.264,Floor-holding
Within-clause,Nizhidao,0.372,0.124,0.547,0.66,84.259,72.117,Floor-holding
Within-clause,Nizhidao,0.29,0.097,0.497,0.121,99.127,78.855,Floor-holding
Within-clause,Nizhidao,0.335,0.112,0,0,152.792,83.328,Floor-holding
Within-clause,Nizhidao,0.441,0.11,0,0,219.977,68.336,Floor-holding
Within-clause,Nizhidao,0.373,0.124,0,0,246.711,77.746,Floor-holding
Within-clause,Nizhidao,0.475,0.119,0,0.02,166.76,86.02,Floor-holding
Within-clause,Nizhidao,0.28,0.093,0,0,175.8,81.081,Floor-holding
Within-clause,Nizhidao,0.35,0.117,0,0,250.853,75.11,Floor-holding
Within-clause,Nizhidao,0.39,0.13,0,0,211.519,79.616,Floor-holding
Within-clause,Nizhidao,0.438,0.146,0,0,176.01,79.931,Floor-holding
Within-clause,Nizhidao,0.407,0.136,0,0,155.366,82.326,Floor-holding
Within-clause,Nizhidao,0.565,0.141,0,0.144,124.42,76.522,Floor-holding
Within-clause,Nizhidao,0.56,0.14,0.128,0.128,165.272,79.864,Floor-holding
Within-clause,Nizhidao,0.487,0.123,0,0.087,313.151,80.593,Floor-holding
Within-clause,Nizhidao,0.537,0.134,0,0,320.534,77.775,Floor-holding
Within-clause,Nizhidao,0.582,0.146,0,0.128,237.778,78.853,Floor-holding
Within-clause,Nizhidao,0.378,0.126,0,0,333.526,80.632,Floor-holding
Within-clause,Nizhidao,0.335,0.112,0,0,244.95,72.917,Floor-holding
Within-clause,Nizhidao,0.418,0.139,0,0,234.065,73.236,Floor-holding
Within-clause,Nizhidao,0.504,0.168,0,0,205.405,78.551,Floor-holding
Within-clause,Nizhidao,0.614,0.154,0,0,203.545,77.714,Floor-holding
Within-clause,Nizhidao,0.25,0.083,0,0,222.491,76.535,Floor-holding
Within-clause,Nizhidao,0.258,0.086,0,0,314.054,77.899,Floor-holding
Within-clause,Nizhidao,0.353,0.118,0,0,335.551,84.163,Floor-holding
Within-clause,Nizhidao,0.385,0.128,0,0,180.776,76.712,Floor-holding
Within-clause,Nizhidao,0.315,0.105,0,0,336.941,78.17,Floor-holding
Within-clause,Nizhidao,0.197,0.066,0.204,0,115.555,68.708,Floor-holding
Within-clause,Nizhidao,0.53,0.133,0,0,198.516,75.291,Floor-holding
Within-clause,Nizhidao,0.235,0.078,0.617,0,194.492,71.261,Floor-holding
Within-clause,Nizhidao,0.256,0.085,0.084,0,249.731,83.234,Floor-holding
Between-clause,Nizhidao,0.387,0.129,0,0,209.914,75.524,Coherence-marking
Between-clause,Nizhidao,0.329,0.11,0.424,0,105.234,76.746,Coherence-marking
Between-clause,Nizhidao,0.639,0.16,0.248,0,149.668,82.135,Coherence-marking
Between-clause,Nizhidao,0.535,0.107,0.108,0.672,102.074,68.193,Coherence-marking
Between-clause,Nizhidao,0.322,0.081,0.312,0,107.552,67.897,Coherence-marking
Between-clause,Nizhidao,0.45,0.113,0.8,0,150.48,65.907,Coherence-marking
Between-clause,Nizhidao,0.572,0.143,0,0.501,92.647,69.544,Coherence-marking
Between-clause,Nizhidao,0.385,0.096,0.255,0.288,116.434,71.416,Coherence-marking
Between-clause,Nizhidao,0.293,0.098,0,0,136.243,69.995,Coherence-marking
Between-clause,Nizhidao,0.328,0.109,1.056,0,168.379,77.78,Coherence-marking
Between-clause,Nizhidao,0.313,0.104,1.321,0,147.856,78.057,Coherence-marking
Between-clause,Nizhidao,0.257,0.086,0,0,179.306,71.395,Coherence-marking
Between-clause,Nizhidao,0.432,0.108,0,0.37,149.308,69.636,Coherence-marking
